!! 71927361
0% 90630400
0& 95570176
0' 100641024
0( 105842944
0) 111175936
0* 116640000
0+ 122235136
0, 127961344
0- 133818624
0. 139806976
0/ 145926400
00 152176896
01 158558464
02 165071104
03 171714816
04 178489600
05 185395456
06 192432384
07 199600384
08 206899456
09 214329600
0: 221890816
0; 229583104
0< 237406464
0= 245360896
0> 253446400
0? 261662976
0@ 270010624
0A 341510400
0B 351037696
0C 360696064
0D 370485504
0E 380406016
0F 390457600
0G 400640256
0H 410953984
0I 421398784
0J 431974656
0K 442681600
0L 453519616
0M 464488704
0N 475588864
0O 486820096
0P 498182400
0Q 509675776
0R 521300224
0S 533055744
0T 278489344
0U 287099136
0V 295840000
0W 304711936
0X 313714944
0Y 322849024
0Z 332114176
0[ 544942336
0\ 556960000
0] 569108736
0^ 581388544
0_ 593799424
0` 606341376
0a 711395584
0b 725117184
0c 738969856
0d 752953600
0e 767068416
0f 781314304
0g 795691264
0h 810199296
0i 824838400
0j 839608576
0k 854509824
0l 869542144
0m 884705536
0n 900000000
0o 915425536
0p 930982144
0q 946669824
0r 962488576
0s 978438400
0t 619014400
0u 631818496
0v 644753664
0w 657819904
0x 671017216
0y 684345600
0z 697805056
0{ 994519296
0| 1010731264
0} 1027074304
0~ 1043548416
1! 72199009
1" 76615009
1# 81162081
1$ 85840225
1% 90649441
1& 95589729
1' 100661089
1( 105863521
1) 111197025
1* 116661601
1+ 122257249
1, 127983969
1- 133841761
1. 139830625
1/ 145950561
10 152201569
11 158583649
12 165096801
13 171741025
14 178516321
15 185422689
16 192460129
17 199628641
18 206928225
19 214358881
1: 221920609
1; 229613409
1< 237437281
1= 245392225
1> 253478241
1? 261695329
1@ 270043489
1A 341547361
1B 351075169
1C 360734049
1D 370524001
1E 380445025
1F 390497121
1G 400680289
1H 410994529
1I 421439841
1J 432016225
1K 442723681
1L 453562209
1M 464531809
1N 475632481
1O 486864225
1P 498227041
1Q 509720929
1R 521345889
1S 533101921
1T 278522721
1U 287133025
1V 295874401
1W 304746849
1X 313750369
1Y 322884961
1Z 332150625
1[ 544989025
1\ 557007201
1] 569156449
1^ 581436769
1_ 593848161
1` 606390625
1a 711448929
1b 725171041
1c 739024225
1d 753008481
1e 767123809
1f 781370209
1g 795747681
1h 810256225
1i 824895841
1j 839666529
1k 854568289
1l 869601121
1m 884765025
1n 900060001
1o 915486049
1p 931043169
1q 946731361
1r 962550625
1s 978500961
1t 619064161
1u 631868769
1v 644804449
1w 657871201
1x 671069025
1y 684397921
1z 697857889
1{ 994582369
1| 1010794849
1} 1027138401
1~ 1043613025
2! 72216004
2" 76632516
2# 81180100
2$ 85858756
2% 90668484
2& 95609284
2' 100681156
2( 105884100
2) 111218116
2* 116683204
2+ 122279364
2, 128006596
2- 133864900
2. 139854276
2/ 145974724
20 152226244
21 158608836
22 165122500
23 171767236
24 178543044
25 185449924
26 192487876
27 199656900
28 206956996
29 214388164
2: 221950404
2; 229643716
2< 237468100
2= 245423556
2> 253510084
2? 261727684
2@ 270076356
2A 341584324
2B 351112644
2C 360772036
2D 370562500
2E 380484036
2F 390536644
2G 400720324
2H 411035076
2I 421480900
2J 432057796
2K 442765764
2L 453604804
2M 464574916
2N 475676100
2O 486908356
2P 498271684
2Q 509766084
2R 521391556
2S 533148100
2T 278556100
2U 287166916
2V 295908804
2W 304781764
2X 313785796
2Y 322920900
2Z 332187076
2[ 545035716
2\ 557054404
2] 569204164
2^ 581484996
2_ 593896900
2` 606439876
2a 711502276
2b 725224900
2c 739078596
2d 753063364
2e 767179204
2f 781426116
2g 795804100
2h 810313156
2i 824953284
2j 839724484
2k 854626756
2l 869660100
2m 884824516
2n 900120004
2o 915546564
2p 931104196
2q 946792900
2r 962612676
2s 978563524
2t 619113924
2u 631919044
2v 644855236
2w 657922500
2x 671120836
2y 684450244
2z 697910724
2{ 994645444
2| 1010858436
2} 1027202500
2~ 1043677636
3! 72233001
3" 76650025
3# 81198121
3$ 85877289
3% 90687529
3& 95628841
3' 100701225
3( 105904681
3) 111239209
3* 116704809
3+ 122301481
3, 128029225
3- 133888041
3. 139877929
3/ 145998889
30 152250921
31 158634025
32 165148201
33 171793449
34 178569769
35 185477161
36 192515625
37 199685161
38 206985769
39 214417449
3: 221980201
3; 229674025
3< 237498921
3= 245454889
3> 253541929
3? 261760041
3@ 270109225
3A 341621289
3B 351150121
3C 360810025
3D 370601001
3E 380523049
3F 390576169
3G 400760361
3H 411075625
3I 421521961
3J 432099369
3K 442807849
3L 453647401
3M 464618025
3N 475719721
3O 486952489
3P 498316329
3Q 509811241
3R 521437225
3S 533194281
3T 278589481
3U 287200809
3V 295943209
3W 304816681
3X 313821225
3Y 322956841
3Z 332223529
3[ 545082409
3\ 557101609
3] 569251881
3^ 581533225
3_ 593945641
3` 606489129
3a 711555625
3b 725278761
3c 739132969
3d 753118249
3e 767234601
3f 781482025
3g 795860521
3h 810370089
3i 825010729
3j 839782441
3k 854685225
3l 869719081
3m 884884009
3n 900180009
3o 915607081
3p 931165225
3q 946854441
3r 962674729
3s 978626089
3t 619163689
3u 631969321
3v 644906025
3w 657973801
3x 671172649
3y 684502569
3z 697963561
3{ 994708521
3| 1010922025
3} 1027266601
3~ 1043742249
4! 72250000
4" 76667536
4# 81216144
4$ 85895824
4% 90706576
4& 95648400
4' 100721296
4( 105925264
4) 111260304
4* 116726416
4+ 122323600
4, 128051856
4- 133911184
4. 139901584
4/ 146023056
40 152275600
41 158659216
42 165173904
43 171819664
44 178596496
45 185504400
46 192543376
47 199713424
48 207014544
49 214446736
4: 222010000
4; 229704336
4< 237529744
4= 245486224
4> 253573776
4? 261792400
4@ 270142096
4A 341658256
4B 351187600
4C 360848016
4D 370639504
4E 380562064
4F 390615696
4G 400800400
4H 411116176
4I 421563024
4J 432140944
4K 442849936
4L 453690000
4M 464661136
4N 475763344
4O 486996624
4P 498360976
4Q 509856400
4R 521482896
4S 533240464
4T 278622864
4U 287234704
4V 295977616
4W 304851600
4X 313856656
4Y 322992784
4Z 332259984
4[ 545129104
4\ 557148816
4] 569299600
4^ 581581456
4_ 593994384
4` 606538384
4a 711608976
4b 725332624
4c 739187344
4d 753173136
4e 767290000
4f 781537936
4g 795916944
4h 810427024
4i 825068176
4j 839840400
4k 854743696
4l 869778064
4m 884943504
4n 900240016
4o 915667600
4p 931226256
4q 946915984
4r 962736784
4s 978688656
4t 619213456
4u 632019600
4v 644956816
4w 658025104
4x 671224464
4y 684554896
4z 698016400
4{ 994771600
4| 1010985616
4} 1027330704
4~ 1043806864
5! 72267001
5" 76685049
5# 81234169
5$ 85914361
5% 90725625
5& 95667961
5' 100741369
5( 105945849
5) 111281401
5* 116748025
5+ 122345721
5, 128074489
5- 133934329
